Date,Asset,Daily Return,Exposure BoP,Exposure EoP,Trade Exposure,Trade Cost,PnL - Daily,PnL,Days in Exposure,Strategy Vol.,stop_trading_sign,Strategy,Strategy Weight,Book Vol,all_strategies_ready,Cumulative_ReturnLibor
2016-10-24,Swap - PDBC US Equity,1.0005364197434135,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088312007493134
2016-10-25,Swap - UCO US Equity,0.9717329234282291,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088555724969717
2016-10-25,Swap - SCO US Equity,1.030112100441225,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088555724969717
2016-10-25,Swap - KOLD US Equity,1.0830589061982303,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088555724969717
2016-10-25,Swap - ZSL US Equity,0.9795559150759816,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088555724969717
2016-10-25,Swap - GLL US Equity,0.9839328014030339,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088555724969717
2016-10-25,Swap - GLD US Equity,1.0075237686632903,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088555724969717
2016-10-25,Swap - GDX US Equity,1.023220615244946,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088555724969717
2016-10-25,Swap - PDBC US Equity,0.996048766187161,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088555724969717
2016-10-26,Swap - UCO US Equity,0.9718201761949267,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088800741484438
2016-10-26,Swap - SCO US Equity,1.0269697392684327,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088800741484438
2016-10-26,Swap - KOLD US Equity,1.0696561732991205,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088800741484438
2016-10-26,Swap - ZSL US Equity,1.018062337899126,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088800741484438
2016-10-26,Swap - GLL US Equity,1.0126844354588764,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088800741484438
2016-10-26,Swap - GLD US Equity,0.9943777599016898,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088800741484438
2016-10-26,Swap - GDX US Equity,0.9788799968719272,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088800741484438
2016-10-26,Swap - PDBC US Equity,0.9943515220065352,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088800741484438
2016-10-27,Swap - UCO US Equity,1.0186669334993907,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089044925580366
2016-10-27,Swap - SCO US Equity,0.9812011641151087,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089044925580366
2016-10-27,Swap - KOLD US Equity,0.9748335484919836,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089044925580366
2016-10-27,Swap - ZSL US Equity,0.9972658355951365,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089044925580366
2016-10-27,Swap - GLL US Equity,0.9952202979376966,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089044925580366
2016-10-27,Swap - GLD US Equity,1.0017970958495306,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089044925580366
2016-10-27,Swap - GDX US Equity,0.9834009912767223,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089044925580366
2016-10-27,Swap - PDBC US Equity,1.0050662004295543,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089044925580366
2016-10-28,Swap - UCO US Equity,0.9651142919851204,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089288734740873
2016-10-28,Swap - SCO US Equity,1.0342848500351116,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089288734740873
2016-10-28,Swap - KOLD US Equity,0.9818051133506838,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089288734740873
2016-10-28,Swap - ZSL US Equity,0.9837133957196528,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089288734740873
2016-10-28,Swap - GLL US Equity,0.9897557473437288,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089288734740873
2016-10-28,Swap - GLD US Equity,1.0046860755412415,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089288734740873
2016-10-28,Swap - GDX US Equity,1.003347457089754,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089288734740873
2016-10-28,Swap - PDBC US Equity,0.9943541045152791,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089288734740873
2016-10-31,Swap - UCO US Equity,0.9144266126363898,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089532094952645
2016-10-31,Swap - SCO US Equity,1.08877190090966,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089532094952645
2016-10-31,Swap - KOLD US Equity,1.0525119261600588,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089532094952645
2016-10-31,Swap - ZSL US Equity,0.9876570223379124,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089532094952645
2016-10-31,Swap - GLL US Equity,0.9955506145375711,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089532094952645
2016-10-31,Swap - GLD US Equity,1.002936821835569,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089532094952645
2016-10-31,Swap - GDX US Equity,1.02979405424988,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089532094952645
2016-10-31,Swap - PDBC US Equity,0.9852620299714873,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0089532094952645
2016-11-01,Swap - UCO US Equity,1.0082917791225467,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.00897745458286
2016-11-01,Swap - SCO US Equity,0.9906019282572964,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.00897745458286
